index,English,Spanish
0,EstateFlow,EstateFlow
1,Home,Home
2,Privacy,Privacidad
3,Sign In,Iniciar
4,Sign Up,Crear cuenta
5,Username,Usuario
6,Password,Constraseña
7,Keep me Signed in,Mantener secion
8,Repeat Password,Reingresa la contraseña
9,Forgot Password?,Olvide la contraseña
10,Already Member?,Cuento con cuenta
11,Email,Email
12,this is a beta version all information is for demonstration purposes only  we do not collect any data from our users if you have any questions or concerns about our privacy policy contact to the dev,Este es una vercion veta. toda informacion solo es demostrativa. nosotros no colectamos informacion de los usuarios. si tienes duda contacta con el desarrollador.
13,Privacy Policy,Politicas de Privacidad
14,Password don't match,Las contraseñas no coinciden
15,Email format not valid,formato de email no valido
16,Email or Password Empty,Email o Password vacio
17,User already exist,El usuario ya existe
18,Can't create user,No se pudo crear el usuario
19,User Created,Usuario creado
20,User dont exist,El usuario no existe
21,baned user,Usuario bloqueado
22,Loggin success,Inicio exitoso
23,User or Password is incorrect,Usuario o contraseña incorrectos
24,My Portal,Mi Portal
25,Profile,Perfil
26,Dashboard,Panel
27,My Properties,Mis Propiedades
28,Payments,Pagos
29,Maintenance,Mantenimiento
30,Settings,Ajustes
31,Logout,Salir
32,Account error. Please reloggin,Error de cuenta. Por favor reingresa a la cuneta
33,First Name,Primer Nombre
34,Second Name,Segundo nombre
35,Fathers Name,Apellido Paterno
36,Mothers Name,Apellido Materno
37,Phone,Telefono
38,Update,Actualizar
39,Change Password,Cambiar contraseña
40,Current Password,Contraseña actual
41,New Password,Nueva Contraseña
42,Repeat new Password,Repite la contrasela
43,Update Password,Actualizar Contraseña
44,Tax Data,Datos Fiscales
45,Error to connet to database,Error al conectar a la base de datos
46,Requiere first name,Se requiere el primer nombre
47,Requiere second name,Se requiere el segundo nombre
48,Requiere mothers name,Se requiere el apellido materno
49,Requiere fathers name,Se requiere el apellido paterno
50,Email is requier,Se requiere el email
51,Phone is requiere,Se requiere numero de telefono
52,Invalid format,Formato invalido
53,The password is requier,La contraseña es necesaria
54,The password must match to the first password,The password is requier
55,Data not updated,Datos no actualizados
56,Updated successfull,Actualizacion con exito
57,Password updated,Contraseña Actualizada
58,Title,Titulo
59,Description,Descripción
60,Address,Dirección
61,City,Ciudad
62,State,Estato
63,Zip Code,Codigo Postal
64,Price,Precio
65,Property Type,Tipo de propiedad
66,Area,Area
67,Status,Estatus
68,Rent Value,Valor de Renta
69,Sale Value,Valor de Venta
70,Imagen URL,Link de Imagen
71,My Properties,Mis propiedades
72,House,Casa
73,Apartment,Apartamento
74,Condo,Condominio
75,Land,Terreno
76,Available,Disponible
77,Unavailable,No disponible
78,Under Contract,En contrato
79,Sold,Venido
80,rented,Rentado
81,Property,Propiedad
82,+ Add Room,+ Cuarto
83,Room,Cuarto
84,Size,tamaño
85,Room type,Tipo de cuarto
86,Living Room,Sala
87,Bedroom,Recamara
88,Kitchen,Cocina
80,Bathroom,Baños
90,Dining Room,Comedor
91,Office,Oficina
92,Garage,Cochera
93,Other,Otros
94,Owner Error. you aren´t an ouwner,Error de propietario. No eres el propietario
95,Property added,Propiedad agregada
96,Property updated,Propiedad actualizada
97,Country,Pais
98,"Result: ","Resultados: "
99,Property Not updated,propiedad No actualizada
100,Not found properties,No se encontraron propiedades
101,New propery,Nueva propiedad
102,Toggle to form,Cambiar al formulario
103,Toggle to list,Cambiar a la lista
104,Lease,Arriendo
